,time,state,label
274,Thu May 21 23:45:14 +0000 2020,co,1
275,Thu May 21 23:45:09 +0000 2020,ny,-1
276,Thu May 21 23:45:06 +0000 2020,al,-1
277,Thu May 21 23:45:04 +0000 2020,nc,-1
278,Thu May 21 23:45:04 +0000 2020,ca,1
279,Thu May 21 23:45:01 +0000 2020,ut,1
280,Thu May 21 23:44:53 +0000 2020,ca,-1
281,Thu May 21 23:44:52 +0000 2020,ca,-1
285,Thu May 21 23:44:36 +0000 2020,pa,1
286,Thu May 21 23:44:32 +0000 2020,ca,-1
287,Thu May 21 23:44:31 +0000 2020,ca,1
288,Thu May 21 23:44:31 +0000 2020,fl,1
291,Thu May 21 23:44:19 +0000 2020,tx,1
292,Thu May 21 23:44:12 +0000 2020,ny,1
293,Thu May 21 23:44:10 +0000 2020,tx,-1
294,Thu May 21 23:44:09 +0000 2020,al,1
295,Thu May 21 23:44:07 +0000 2020,tx,-1
297,Thu May 21 23:44:01 +0000 2020,al,-1
298,Thu May 21 23:43:54 +0000 2020,pa,-1
299,Thu May 21 23:43:53 +0000 2020,mo,-1
300,Thu May 21 23:43:44 +0000 2020,nc,1
302,Thu May 21 23:43:42 +0000 2020,ct,1
303,Thu May 21 23:43:36 +0000 2020,nc,-1
304,Thu May 21 23:43:31 +0000 2020,nj,-1
305,Thu May 21 23:43:27 +0000 2020,ma,-1
306,Thu May 21 23:43:27 +0000 2020,dc,1
308,Thu May 21 23:43:17 +0000 2020,tx,1
309,Thu May 21 23:43:11 +0000 2020,fl,1
311,Thu May 21 23:43:06 +0000 2020,wa,1
312,Thu May 21 23:43:06 +0000 2020,dc,-1
313,Thu May 21 23:43:04 +0000 2020,mn,-1
314,Thu May 21 23:43:03 +0000 2020,nc,-1
315,Thu May 21 23:42:56 +0000 2020,ga,-1
316,Thu May 21 23:42:53 +0000 2020,ga,1
317,Thu May 21 23:42:53 +0000 2020,me,1
318,Thu May 21 23:42:50 +0000 2020,pa,-1
