,time,state,label
353,Fri May 08 23:48:28 +0000 2020,ca,-1
354,Fri May 08 23:48:25 +0000 2020,ut,1
355,Fri May 08 23:48:22 +0000 2020,ca,1
356,Fri May 08 23:48:16 +0000 2020,ga,-1
357,Fri May 08 23:48:15 +0000 2020,tn,-1
358,Fri May 08 23:48:14 +0000 2020,il,-1
359,Fri May 08 23:48:12 +0000 2020,nc,1
361,Fri May 08 23:48:12 +0000 2020,tx,-1
362,Fri May 08 23:48:10 +0000 2020,ia,-1
363,Fri May 08 23:48:07 +0000 2020,ia,1
364,Fri May 08 23:48:02 +0000 2020,ca,-1
365,Fri May 08 23:48:02 +0000 2020,ct,1
366,Fri May 08 23:48:00 +0000 2020,ca,1
367,Fri May 08 23:48:00 +0000 2020,oh,-1
368,Fri May 08 23:47:55 +0000 2020,ma,1
369,Fri May 08 23:47:53 +0000 2020,nc,-1
370,Fri May 08 23:47:52 +0000 2020,nv,-1
371,Fri May 08 23:47:46 +0000 2020,ny,1
372,Fri May 08 23:47:43 +0000 2020,dc,-1
374,Fri May 08 23:47:38 +0000 2020,ny,-1
375,Fri May 08 23:47:35 +0000 2020,co,-1
377,Fri May 08 23:47:06 +0000 2020,ia,1
378,Fri May 08 23:47:02 +0000 2020,ca,-1
379,Fri May 08 23:47:01 +0000 2020,nj,1
380,Fri May 08 23:47:00 +0000 2020,tx,1
381,Fri May 08 23:46:56 +0000 2020,or,-1
382,Fri May 08 23:46:43 +0000 2020,wi,-1
383,Fri May 08 23:46:41 +0000 2020,al,1
384,Fri May 08 23:46:39 +0000 2020,fl,1
386,Fri May 08 23:46:33 +0000 2020,fl,1
388,Fri May 08 23:46:26 +0000 2020,ia,1
389,Fri May 08 23:46:20 +0000 2020,nm,1
390,Fri May 08 23:46:17 +0000 2020,ca,-1
391,Fri May 08 23:46:11 +0000 2020,nj,1
392,Fri May 08 23:46:11 +0000 2020,ca,-1
393,Fri May 08 23:46:10 +0000 2020,il,-1
394,Fri May 08 23:46:04 +0000 2020,nm,1
397,Fri May 08 23:46:01 +0000 2020,ky,1
398,Fri May 08 23:45:56 +0000 2020,or,-1
399,Fri May 08 23:45:54 +0000 2020,nm,-1
400,Fri May 08 23:45:52 +0000 2020,il,-1
401,Fri May 08 23:45:52 +0000 2020,az,1
402,Fri May 08 23:45:48 +0000 2020,dc,-1
403,Fri May 08 23:45:47 +0000 2020,ny,-1
404,Fri May 08 23:45:39 +0000 2020,ny,-1
406,Fri May 08 23:45:37 +0000 2020,pa,1
407,Fri May 08 23:45:25 +0000 2020,oh,-1
408,Fri May 08 23:45:20 +0000 2020,tx,1
410,Fri May 08 23:45:14 +0000 2020,nv,1
411,Fri May 08 23:45:12 +0000 2020,nd,1
412,Fri May 08 23:45:11 +0000 2020,al,-1
414,Fri May 08 23:45:07 +0000 2020,pa,-1
415,Fri May 08 23:45:06 +0000 2020,il,1
416,Fri May 08 23:45:04 +0000 2020,ca,1
417,Fri May 08 23:45:03 +0000 2020,mn,-1
418,Fri May 08 23:45:00 +0000 2020,fl,1
419,Fri May 08 23:45:00 +0000 2020,ny,1
420,Fri May 08 23:44:57 +0000 2020,co,-1
421,Fri May 08 23:44:56 +0000 2020,ca,1
422,Fri May 08 23:44:55 +0000 2020,pa,-1
423,Fri May 08 23:44:53 +0000 2020,ca,-1
424,Fri May 08 23:44:52 +0000 2020,pa,1
425,Fri May 08 23:44:50 +0000 2020,tx,-1
426,Fri May 08 23:44:44 +0000 2020,ca,-1
427,Fri May 08 23:44:40 +0000 2020,mi,-1
428,Fri May 08 23:44:32 +0000 2020,mn,-1
429,Fri May 08 23:44:29 +0000 2020,mn,1
430,Fri May 08 23:44:27 +0000 2020,oh,1
431,Fri May 08 23:44:22 +0000 2020,fl,-1
432,Fri May 08 23:44:22 +0000 2020,ca,-1
433,Fri May 08 23:44:22 +0000 2020,ca,-1
434,Fri May 08 23:44:20 +0000 2020,ca,-1
435,Fri May 08 23:44:15 +0000 2020,tx,1
436,Fri May 08 23:44:12 +0000 2020,mn,-1
437,Fri May 08 23:44:05 +0000 2020,tn,1
438,Fri May 08 23:44:05 +0000 2020,ky,-1
440,Fri May 08 23:43:59 +0000 2020,ma,1
441,Fri May 08 23:43:53 +0000 2020,ma,1
442,Fri May 08 23:43:50 +0000 2020,fl,1
443,Fri May 08 23:43:49 +0000 2020,me,-1
444,Fri May 08 23:43:43 +0000 2020,ca,-1
445,Fri May 08 23:43:36 +0000 2020,pa,1
446,Fri May 08 23:43:27 +0000 2020,wv,1
447,Fri May 08 23:43:24 +0000 2020,tx,1
448,Fri May 08 23:43:23 +0000 2020,ar,1
449,Fri May 08 23:43:23 +0000 2020,tn,-1
450,Fri May 08 23:43:22 +0000 2020,ny,-1
451,Fri May 08 23:43:22 +0000 2020,az,-1
452,Fri May 08 23:43:18 +0000 2020,tx,-1
453,Fri May 08 23:43:18 +0000 2020,wa,1
454,Fri May 08 23:43:14 +0000 2020,md,1
456,Fri May 08 23:43:10 +0000 2020,ky,1
459,Fri May 08 23:42:59 +0000 2020,ak,-1
461,Fri May 08 23:42:47 +0000 2020,fl,1
462,Fri May 08 23:42:45 +0000 2020,md,1
464,Fri May 08 23:42:42 +0000 2020,dc,1
465,Fri May 08 23:42:41 +0000 2020,ks,-1
466,Fri May 08 23:42:39 +0000 2020,de,-1
467,Fri May 08 23:42:38 +0000 2020,tx,-1
468,Fri May 08 23:42:34 +0000 2020,dc,1
470,Fri May 08 23:42:31 +0000 2020,fl,1
471,Fri May 08 23:42:28 +0000 2020,tx,1
472,Fri May 08 23:42:22 +0000 2020,al,-1
473,Fri May 08 23:42:20 +0000 2020,dc,1
475,Fri May 08 23:42:17 +0000 2020,ga,-1
476,Fri May 08 23:42:16 +0000 2020,ca,-1
478,Fri May 08 23:42:15 +0000 2020,ca,-1
479,Fri May 08 23:42:14 +0000 2020,la,1
480,Fri May 08 23:42:12 +0000 2020,ca,1
481,Fri May 08 23:42:11 +0000 2020,ca,-1
482,Fri May 08 23:42:11 +0000 2020,pa,1
